strategy,rel_pct,metric,n,mean,sd,se,tval,lo,hi
SMR,1,Maximum total population,10,10963.9,86.33970375467156,27.30301163689538,2.262157162798205,10902.136296659633,11025.663703340366
SMR,1,Minimum female population,10,4604.5,42.28015032034668,13.370157482659323,2.262157162798205,4574.2546024828625,4634.7453975171375
SMR,2,Maximum total population,10,10952,72.56567906233481,22.947282579376967,2.262157162798205,10900.089640346308,11003.910359653692
SMR,2,Minimum female population,10,4567.8,47.69299971926931,15.081850755866212,2.262157162798205,4533.682483284364,4601.917516715636
SMR,3,Maximum total population,10,10919.5,68.04777733328254,21.518596608515157,2.262157162798205,10870.821552548683,10968.178447451317
SMR,3,Minimum female population,10,4590.2,43.98434064780581,13.909069782779229,2.262157162798205,4558.735498163026,4621.664501836974
SMR,4,Maximum total population,10,10933.2,68.56108387578352,21.68091838973207,2.262157162798205,10884.154355168625,10982.245644831377
SMR,4,Minimum female population,10,4555.3,56.00605126035737,17.71066847348732,2.262157162798205,4515.235684454757,4595.364315545244
SMR,5,Maximum total population,10,10939.4,103.90080739714094,32.85632021054363,2.262157162798205,10865.073839892528,11013.726160107472
SMR,5,Minimum female population,10,4561.7,51.985147451513065,16.439147044647893,2.262157162798205,4524.512065762657,4598.887934237343
SMR,6,Maximum total population,10,10951.7,51.83317256137982,16.3910883646504,2.262157162798205,10914.62078204985,10988.779217950152
SMR,6,Minimum female population,10,4562.6,56.533569181897974,17.87748428734995,2.262157162798205,4522.15832086656,4603.041679133441
SMR,7.000000000000001,Maximum total population,10,10981,91.00427340393294,28.778078076511253,2.262157162798205,10915.899464547654,11046.100535452346
SMR,7.000000000000001,Minimum female population,10,4544.3,51.374550552237864,16.246059351253287,2.262157162798205,4507.548860471318,4581.051139528682
SMR,8,Maximum total population,10,10986.2,92.05046924860778,29.108914251288876,2.262157162798205,10920.35106112517,11052.048938874832
SMR,8,Minimum female population,10,4515.3,52.35784988370363,16.557005902168555,2.262157162798205,4477.845450503917,4552.754549496083
SMR,9,Maximum total population,10,11009.8,68.91185996941633,21.791843530193685,2.262157162798205,10960.503425067594,11059.096574932404
SMR,9,Minimum female population,10,4532.7,51.96163114367284,16.43171053515461,2.262157162798205,4495.528888315873,4569.871111684127
SMR,10,Maximum total population,10,11089.1,100.95703156403827,31.925416555187216,2.262157162798205,11016.879690264368,11161.320309735633
SMR,10,Minimum female population,10,4532.9,43.75550758983884,13.836706416067534,2.262157162798205,4501.599195471356,4564.200804528643
SMR,11,Maximum total population,10,11127.2,85.82385060886824,27.139884549005238,2.262157162798205,11065.805315769952,11188.59468423005
SMR,11,Minimum female population,10,4528.7,48.9740293988105,15.486947909628789,2.262157162798205,4493.6660898563505,4563.733910143649
SMR,12,Maximum total population,10,11151.4,125.24482690581141,39.6058918175903,2.262157162798205,11061.805248135826,11240.994751864173
SMR,12,Minimum female population,10,4481.4,66.9032468901506,21.15666430334528,2.262157162798205,4433.54030030527,4529.2596996947295
SMR,13,Maximum total population,10,11151.4,142.70497927931987,45.127276796978464,2.262157162798205,11049.315007556137,11253.484992443862
SMR,13,Minimum female population,10,4497.3,43.13042236442084,13.639037111663466,2.262157162798205,4466.44635450418,4528.1536454958205
SMR,14.000000000000002,Maximum total population,10,11137.4,145.82958090410418,46.11536258847659,2.262157162798205,11033.07980220544,11241.720197794559
SMR,14.000000000000002,Minimum female population,10,4456,38.36665218650175,12.132600710482478,2.262157162798205,4428.554150399412,4483.445849600588
SMR,15,Maximum total population,10,11211.6,117.50101654406608,37.157083966437526,2.262157162798205,11127.54483635663,11295.65516364337
SMR,15,Minimum female population,10,4486.3,57.65231035170134,18.231261308227932,2.262157162798205,4445.058021644747,4527.541978355253
SMR,16,Maximum total population,10,11255.3,101.51086422425706,32.10055382007536,2.262157162798205,11182.683502246127,11327.916497753871
SMR,16,Minimum female population,10,4423.5,53.14393453422298,16.805587695102417,2.262157162798205,4385.483119420491,4461.516880579509
SMR,17,Maximum total population,10,11340.2,137.38979421905964,43.4464676994063,2.262157162798205,11241.917261895507,11438.482738104494
SMR,17,Minimum female population,10,4447.3,68.24473931699384,21.580881456614428,2.262157162798205,4398.480654433421,4496.11934556658
SMR,18,Maximum total population,10,11364.8,140.8401773484951,44.537574648329866,2.262157162798205,11264.04900649562,11465.55099350438
SMR,18,Minimum female population,10,4462.6,60.11877133364143,19.011224754514547,2.262157162798205,4419.593621748008,4505.606378251992
SMR,19,Maximum total population,10,11431.2,109.58081746161395,34.65249710418508,2.262157162798205,11352.810605466924,11509.589394533077
SMR,19,Minimum female population,10,4416.2,47.332863847436904,14.967965793654123,2.262157162798205,4382.340108967366,4450.0598910326335
SMR,20,Maximum total population,10,11429.8,66.0551957751159,20.888486993769774,2.262157162798205,11382.546959527026,11477.053040472972
SMR,20,Minimum female population,10,4407.3,39.55319905589882,12.507819776266187,2.262157162798205,4379.005345902131,4435.594654097869
fsRRDL,2,Maximum total population,100,10915.15,91.42865795224981,9.142865795224981,1.9842169515864172,10897.008570703034,10933.291429296965
fsRRDL,2,Minimum female population,100,4273.82,65.06599291752518,6.506599291752518,1.9842169515864172,4260.909495388124,4286.730504611875
fsRRDL,4,Maximum total population,100,10914.2,86.97451153392961,8.697451153392961,1.9842169515864172,10896.942369985843,10931.457630014158
fsRRDL,4,Minimum female population,100,3841.44,62.43142824189778,6.2431428241897775,1.9842169515864172,3829.0522501770674,3853.8277498229327
fsRRDL,6,Maximum total population,100,10906.73,86.82035964268317,8.682035964268318,1.9842169515864172,10889.502957065415,10923.957042934584
fsRRDL,6,Minimum female population,100,3371.79,68.36566788567596,6.8365667885675965,1.9842169515864172,3358.2247682874713,3385.3552317125286
fsRRDL,8,Maximum total population,100,10918.7,103.70514729634966,10.370514729634966,1.9842169515864172,10898.122648876782,10939.277351123219
fsRRDL,8,Minimum female population,100,2827.46,76.87631677446625,7.687631677446625,1.9842169515864172,2812.206070908058,2842.713929091942
fsRRDL,10,Maximum total population,100,10952.42,127.21215715997009,12.721215715997008,1.9842169515864172,10927.17834813153,10977.66165186847
fsRRDL,10,Minimum female population,100,2107.66,108.3043056681618,10.83043056681618,1.9842169515864172,2086.1700760763433,2129.1499239236564
fsRRDL,12,Maximum total population,100,10966.78,107.62838985616342,10.762838985616343,1.9842169515864172,10945.424192437546,10988.135807562456
fsRRDL,12,Minimum female population,100,815.46,190.63998647829487,19.063998647829486,1.9842169515864172,777.6328907179562,853.2871092820438
fsRRDL,14.000000000000002,Maximum total population,100,11000.59,203.21850185194629,20.321850185194627,1.9842169515864172,10960.267040374938,11040.912959625062
fsRRDL,14.000000000000002,Minimum female population,100,0,0,0,1.9842169515864172,0,0
fsRRDL,16,Maximum total population,100,11080.73,200.6973627483466,20.06973627483466,1.9842169515864172,11040.907289069604,11120.552710930395
fsRRDL,16,Minimum female population,100,0,0,0,1.9842169515864172,0,0
fsRRDL,18,Maximum total population,100,11232.94,198.35830349561007,19.835830349561007,1.9842169515864172,11193.58140917161,11272.298590828392
fsRRDL,18,Minimum female population,100,0,0,0,1.9842169515864172,0,0
fsRRDL,20,Maximum total population,100,11330.18,192.70846668300055,19.270846668300056,1.9842169515864172,11291.942459369337,11368.417540630664
fsRRDL,20,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,1,Maximum total population,100,10571.51,155.0805261661167,15.50805261661167,1.9842169515864172,10540.738659112025,10602.281340887976
YLE,1,Minimum female population,100,1191.63,712.2600344443499,71.226003444435,1.9842169515864172,1050.3021565717997,1332.9578434282005
YLE,2,Maximum total population,100,10579.04,181.74979582609788,18.174979582609787,1.9842169515864172,10542.97689741745,10615.103102582552
YLE,2,Minimum female population,100,0.09,0.4286459771622423,0.04286459771622423,1.9842169515864172,0.004947338588535452,0.17505266141146453
YLE,3,Maximum total population,100,10591.31,184.85280494206597,18.4852804942066,1.9842169515864172,10554.631193088566,10627.988806911433
YLE,3,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,4,Maximum total population,100,10600.81,186.21339420626592,18.62133942062659,1.9842169515864172,10563.861222660347,10637.758777339652
YLE,4,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,5,Maximum total population,100,10629.13,183.92530625998228,18.392530625998226,1.9842169515864172,10592.63522894932,10665.624771050678
YLE,5,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,6,Maximum total population,100,10673.27,165.87891744439753,16.58789174443975,1.9842169515864172,10640.356024009603,10706.183975990398
YLE,6,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,7.000000000000001,Maximum total population,100,10721.88,165.88003941025417,16.588003941025416,1.9842169515864172,10688.965801387234,10754.794198612764
YLE,7.000000000000001,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,8,Maximum total population,100,10773.51,172.37265801838535,17.237265801838536,1.9842169515864172,10739.307524996992,10807.712475003009
YLE,8,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,9,Maximum total population,100,10827.04,179.89721644552617,17.989721644552617,1.9842169515864172,10791.344489358558,10862.735510641443
YLE,9,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,10,Maximum total population,100,10840.08,172.94821318661965,17.294821318661967,1.9842169515864172,10805.763322364854,10874.396677635146
YLE,10,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,11,Maximum total population,100,10907.6,155.61744079243778,15.561744079243777,1.9842169515864172,10876.722123601716,10938.477876398285
YLE,11,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,12,Maximum total population,100,10949.07,170.42444073547665,17.042444073547664,1.9842169515864172,10915.254093572803,10982.885906427196
YLE,12,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,13,Maximum total population,100,11019.68,165.51858389969868,16.55185838996987,1.9842169515864172,10986.837522002364,11052.522477997636
YLE,13,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,14.000000000000002,Maximum total population,100,11094.11,171.48253702651627,17.148253702651626,1.9842169515864172,11060.084144313094,11128.135855686907
YLE,14.000000000000002,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,15,Maximum total population,100,11107.2,179.7145323320102,17.97145323320102,1.9842169515864172,11071.54073785004,11142.859262149961
YLE,15,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,16,Maximum total population,100,11150.28,172.38025151133502,17.238025151133503,1.9842169515864172,11116.07601828325,11184.483981716752
YLE,16,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,17,Maximum total population,100,11209.24,177.00631273340153,17.700631273340154,1.9842169515864172,11174.118107373657,11244.361892626343
YLE,17,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,18,Maximum total population,100,11279.78,169.33312932462061,16.933312932462062,1.9842169515864172,11246.180633432892,11313.37936656711
YLE,18,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,19,Maximum total population,100,11280.61,182.5539297652265,18.25539297652265,1.9842169515864172,11244.387339798113,11316.832660201888
YLE,19,Minimum female population,100,0,0,0,1.9842169515864172,0,0
YLE,20,Maximum total population,100,11395.25,174.79808698072532,17.47980869807253,1.9842169515864172,11360.566267270797,11429.933732729203
YLE,20,Minimum female population,100,0,0,0,1.9842169515864172,0,0
